rejuvenation,,,,,
plot,Specie?,n,h,Browsing,notes
s21,Fagus sylvatica,1,1,0,
s22vip,Fagus sylvatica,1,1,0,quebrado y posiblemente muerto
s22vip,Fagus sylvatica,1,0,1,muchos de tocon
s23,Fagus sylvatica,2,1,0,from stump
s23,Fagus sylvatica,2,1,0,from stump
s23,Fagus sylvatica,1,0,1,from stump
s23,Fagus sylvatica,1,0,1,longer than 2m but bended
s23,Fagus sylvatica,2,1,0,
s23,Fagus sylvatica,1,1,0,
s23,Fagus sylvatica,1,1,0,
s23,Fagus sylvatica,3,1,0,
s23,Fagus sylvatica,1,1,1,
s23,Fagus sylvatica,1,1,0,
s63vip,Fagus sylvatica,3,1,0,
s63vip,Fagus sylvatica,2,0,0,
s66,Picea abies,3,0,0,
s66,Picea abies,5,0,0,
s66,Picea abies,4,0,0,
s67vip,Picea abies,5,0,0,
,,758,,,
,,,,,
,,758,,,
